in:RotAng,in:Radiation_Limit,in:PV_Efficiency,out:FAR,out:Selected_Area,out:total_collected_energy,out:collected_efficiency_energy,img:V1,img:V2
0,0,0.15,1.2,33495.0,24556.5,3683.5,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.15_V1.png,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.15_V2.png
45,0,0.15,1.2,33495.0,24952.1,3742.8,RotAng_45_Radiation_Limit_0_PV_Efficiency_0.15_V1.png,RotAng_45_Radiation_Limit_0_PV_Efficiency_0.15_V2.png
0,300,0.15,1.2,24440.0,24556.5,3430.4,RotAng_0_Radiation_Limit_300_PV_Efficiency_0.15_V1.png,RotAng_0_Radiation_Limit_300_PV_Efficiency_0.15_V2.png
45,300,0.15,1.2,27510.0,24952.1,3588.6,RotAng_45_Radiation_Limit_300_PV_Efficiency_0.15_V1.png,RotAng_45_Radiation_Limit_300_PV_Efficiency_0.15_V2.png
0,600,0.15,1.2,18290.0,24556.5,3036.9,RotAng_0_Radiation_Limit_600_PV_Efficiency_0.15_V1.png,RotAng_0_Radiation_Limit_600_PV_Efficiency_0.15_V2.png
45,600,0.15,1.2,14825.0,24952.1,2703.0,RotAng_45_Radiation_Limit_600_PV_Efficiency_0.15_V1.png,RotAng_45_Radiation_Limit_600_PV_Efficiency_0.15_V2.png
0,900,0.15,1.2,9340.0,24556.5,2012.7,RotAng_0_Radiation_Limit_900_PV_Efficiency_0.15_V1.png,RotAng_0_Radiation_Limit_900_PV_Efficiency_0.15_V2.png
45,900,0.15,1.2,10100.0,24952.1,2159.3,RotAng_45_Radiation_Limit_900_PV_Efficiency_0.15_V1.png,RotAng_45_Radiation_Limit_900_PV_Efficiency_0.15_V2.png
0,0,0.2,1.2,33495.0,24556.5,4911.3,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.2_V1.png,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.2_V2.png
45,0,0.2,1.2,33495.0,24952.1,4990.4,RotAng_45_Radiation_Limit_0_PV_Efficiency_0.2_V1.png,RotAng_45_Radiation_Limit_0_PV_Efficiency_0.2_V2.png
0,300,0.2,1.2,24440.0,24556.5,4573.9,RotAng_0_Radiation_Limit_300_PV_Efficiency_0.2_V1.png,RotAng_0_Radiation_Limit_300_PV_Efficiency_0.2_V2.png
45,300,0.2,1.2,27510.0,24952.1,4784.7,RotAng_45_Radiation_Limit_300_PV_Efficiency_0.2_V1.png,RotAng_45_Radiation_Limit_300_PV_Efficiency_0.2_V2.png
0,600,0.2,1.2,18290.0,24556.5,4049.1,RotAng_0_Radiation_Limit_600_PV_Efficiency_0.2_V1.png,RotAng_0_Radiation_Limit_600_PV_Efficiency_0.2_V2.png
45,600,0.2,1.2,14825.0,24952.1,3603.9,RotAng_45_Radiation_Limit_600_PV_Efficiency_0.2_V1.png,RotAng_45_Radiation_Limit_600_PV_Efficiency_0.2_V2.png
0,900,0.2,1.2,9340.0,24556.5,2683.6,RotAng_0_Radiation_Limit_900_PV_Efficiency_0.2_V1.png,RotAng_0_Radiation_Limit_900_PV_Efficiency_0.2_V2.png
45,900,0.2,1.2,10100.0,24952.1,2879.1,RotAng_45_Radiation_Limit_900_PV_Efficiency_0.2_V1.png,RotAng_45_Radiation_Limit_900_PV_Efficiency_0.2_V2.png
0,0,0.25,1.2,33495.0,24556.5,6139.1,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.25_V1.png,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.25_V2.png
45,0,0.25,1.2,33495.0,24952.1,6238.0,RotAng_45_Radiation_Limit_0_PV_Efficiency_0.25_V1.png,RotAng_45_Radiation_Limit_0_PV_Efficiency_0.25_V2.png
0,300,0.25,1.2,24440.0,24556.5,5717.4,RotAng_0_Radiation_Limit_300_PV_Efficiency_0.25_V1.png,RotAng_0_Radiation_Limit_300_PV_Efficiency_0.25_V2.png
45,300,0.25,1.2,27510.0,24952.1,5980.9,RotAng_45_Radiation_Limit_300_PV_Efficiency_0.25_V1.png,RotAng_45_Radiation_Limit_300_PV_Efficiency_0.25_V2.png
0,600,0.25,1.2,18290.0,24556.5,5061.4,RotAng_0_Radiation_Limit_600_PV_Efficiency_0.25_V1.png,RotAng_0_Radiation_Limit_600_PV_Efficiency_0.25_V2.png
45,600,0.25,1.2,14825.0,24952.1,4504.9,RotAng_45_Radiation_Limit_600_PV_Efficiency_0.25_V1.png,RotAng_45_Radiation_Limit_600_PV_Efficiency_0.25_V2.png
0,900,0.25,1.2,9340.0,24556.5,3354.5,RotAng_0_Radiation_Limit_900_PV_Efficiency_0.25_V1.png,RotAng_0_Radiation_Limit_900_PV_Efficiency_0.25_V2.png
45,900,0.25,1.2,10100.0,24952.1,3598.9,RotAng_45_Radiation_Limit_900_PV_Efficiency_0.25_V1.png,RotAng_45_Radiation_Limit_900_PV_Efficiency_0.25_V2.png
0,0,0.3,1.2,33495.0,24556.5,7367.0,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.3_V1.png,RotAng_0_Radiation_Limit_0_PV_Efficiency_0.3_V2.png
